final_classification,cbs_species_definition,primary_survey_type,taxonomic_id,taxonomic_source,kingdom,phylum,class,order,family,genus,species,rank,species_lump,species_lump_taxonomic_id
asparagopsis taxiformis,asparagopsis taxiformis,point contact,144439,World Register of Marine Species:  www.marinespecies.org,Plantae,(Division) Rhodophyta,Florideophyceae,Bonnemaisoniales,Bonnemaisoniaceae,Asparagopsis,Asparagopsis taxiformis,3,Asparagopsis taxiformis,144439
astrometis sertulifera,astrometis sertulifera,swath,255044,World Register of Marine Species:  www.marinespecies.org,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Astrometis,Astrometis sertulifera,4,Astrometis sertulifera,255044
atrimitra idae,atrimitra idae,quadrat,1074819,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Mitridae,Atrimitra,Atrimitra idae,3,Atrimitra idae,1074819
babelomurex oldroydi,babelomurex oldroydi,quadrat,580826,World Register of Marine Species:  www.marinespecies.org,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Babelomurex,Babelomurex oldroydi,4,Babelomurex oldroydi,580826
balanophyllia elegans,balanophyllia elegans,point contact,286920,World Register of Marine Species:  www.marinespecies.org,Animalia,Cnidaria,Hexacorallia,Scleractinia,Dendrophylliidae,Balanophyllia,Balanophyllia (Balanophyllia),4,Balanophyllia elegans,286920
balanus crenatus,balanus crenatus,point contact,106215,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Balanus,Balanus crenatus,3,Balanus crenatus,106215
balanus glandula,balanus glandula,point contact,394848,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Balanus,Balanus glandula,1,Balanus glandula,394848
balanus glandula; semibalanus balanoides,balanus glandula; semibalanus balanoides,point contact,106057,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,NULL,NULL,3,Balanus glandula/Semibalanus balanoides,106122
balanus glandula; semibalanus cariosus,balanus glandula; semibalanus cariosus,point contact,106057,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,NULL,NULL,5,DROP,NA
balanus nubilus,balanus nubilus,point contact,594745,World Register of Marine Species:  www.marinespecies.org,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Balanus,Balanus nubilus,3,Balanus nubilus,594745
